Date first added,Symbol,Security,SEC filings,GICS Sector,GICS Sub-Industry,Headquarters Location,CIK,Founded
2011-12-19,BWA,BorgWarner,reports,Consumer Discretionary,Auto Parts & Equipment,"Auburn Hills, Michigan",908255,1880
2006-04-03,BXP,Boston Properties,reports,Real Estate,Office REITs,"Boston, Massachusetts",1037540,1970
1995-02-24,BSX,Boston Scientific,reports,Health Care,Health Care Equipment,"Marlborough, Massachusetts[4]",885725,1979
1957-03-04,BMY,Bristol Myers Squibb,reports,Health Care,Health Care Distributors,"New York City, New York",14272,1989
2014-05-08,AVGO,Broadcom,reports,Information Technology,Semiconductors,"San Jose, California",1730168,1961
2018-06-18,BR,Broadridge Financial Solutions,reports,Information Technology,Data Processing & Outsourced Services,"Lake Success, New York",1383312,1962
2021-09-20,BRO,Brown & Brown,reports,Financials,Insurance Brokers,"Daytona Beach, Florida",79282,1939
1982-10-31,BF.B,Brown–Forman,reports,Consumer Staples,Distillers & Vintners,"Louisville, Kentucky",14693,1870
2007-03-02,CHRW,C. H. Robinson,reports,Industrials,Air Freight & Logistics,"Eden Prairie, Minnesota",1043277,1905
2017-09-18,CDNS,Cadence Design Systems,reports,Information Technology,Application Software,"San Jose, California",813672,1988
2021-03-22,CZR,Caesars Entertainment,reports,Consumer Discretionary,Casinos & Gaming,"Reno, Nevada",1590895,1973
1957-03-04,CPB,Campbell Soup,reports,Consumer Staples,Packaged Foods & Meats,"Camden, New Jersey",16732,1869
1998-07-01,COF,Capital One,reports,Financials,Consumer Finance,"Tysons Corner, Virginia",927628,1994
1997-05-27,CAH,Cardinal Health,reports,Health Care,Health Care Distributors,"Dublin, Ohio",721371,1971
2010-06-28,KMX,CarMax,reports,Consumer Discretionary,Specialty Stores,"Richmond, Virginia",1170010,1993
1998-12-22,CCL,Carnival Corporation,reports,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",815097,1972
2020-04-03,CARR,Carrier Global,reports,Industrials,Building Products,"Palm Beach Gardens, Florida",1783180,2020 (1915)
2020-09-21,CTLT,Catalent,reports,Health Care,Pharmaceuticals,"Somerset, New Jersey",1596783,2007
1957-03-04,CAT,Caterpillar,reports,Industrials,Construction Machinery & Heavy Trucks,"Deerfield, Illinois",18230,1925
2017-03-01,CBOE,Cboe Global Markets,reports,Financials,Financial Exchanges & Data,"Chicago, Illinois",1374310,1973
2006-11-10,CBRE,CBRE,reports,Real Estate,Real Estate Services,"Dallas, Texas",1138118,1906
2019-09-23,CDW,CDW,reports,Information Technology,Technology Distributors,"Lincolnshire, Illinois",1402057,1984
2018-12-24,CE,Celanese,reports,Materials,Specialty Chemicals,"Irving, Texas",1306830,1918
2016-03-30,CNC,Centene,reports,Health Care,Managed Health Care,"St. Louis, Missouri",1071739,1984
1985-07-31,CNP,CenterPoint Energy,reports,Utilities,Multi-Utilities,"Houston, Texas",1130310,1882
2021-09-20,CDAY,Ceridian,reports,Information Technology,Application Software,"Minneapolis, Minnesota",1725057,1992
2010-04-30,CERN,Cerner,reports,Health Care,Health Care Technology,"North Kansas City, Missouri",804753,1979
